STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,PM,1308,4533
Bankhead,RAIL,33.77218678,-84.42893117,PM,489,827
Peachtree Center,RAIL,33.75967751,-84.38756755,PM,6567,1728
Civic Center,RAIL,33.76648821,-84.38749686,PM,2404,2040
Midtown,RAIL,33.78111994,-84.38633917,PM,5000,2671
Arts Center,RAIL,33.78918261,-84.38732614,PM,6698,2823
Lindbergh Center,RAIL,33.8224931,-84.36959926,PM,4739,7261
Lenox,RAIL,33.84538918,-84.35809299,PM,2291,859
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,PM,559,1300
Chamblee,RAIL,33.88746349,-84.30635678,PM,1153,1436
Buckhead,RAIL,33.84806247,-84.36785871,PM,3078,1252
Medical Center,RAIL,33.91076675,-84.35150426,PM,2135,623
Dunwoody,RAIL,33.92129246,-84.34435935,PM,2493,2051
Garnett,RAIL,33.74883024,-84.39563408,PM,1888,540
West End,RAIL,33.73581105,-84.41366372,PM,1659,4338
Oakland City,RAIL,33.71704952,-84.42512465,PM,870,2545
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,PM,503,1575
East Point,RAIL,33.67685698,-84.44074954,PM,1504,3930
College Park,RAIL,33.65153306,-84.44877472,PM,1345,7812
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,PM,8,2
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,PM,5,8
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,PM,2,1
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,PM,2,1
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,PM,4,3
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,PM,6,9
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,PM,10,1
King Memorial,RAIL,33.75000421,-84.37543042,PM,502,844
Airport,RAIL,33.64068199,-84.44620592,PM,4215,763
North Avenue,RAIL,33.77256732,-84.38699937,PM,4661,1798
Doraville,RAIL,33.90298663,-84.28025261,PM,797,4980
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,PM,17185,16175
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,PM,17681,9239
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,PM,12,6
Park Place Streetcar,RAIL,33.75506728,-84.38820242,PM,11,6
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,PM,3,2
King Historical District,RAIL,33.75548968,-84.37435941,EV,0,1
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,EV,2,11
Sandy Springs,RAIL,33.93218729,-84.35208977,EV,265,102
