FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
Buckhead,NECobb,2822,411,90,1027,2344,29,3849,2755,119,3323,3400,6723
Buckhead,SWCobb,826,143,24,183,578,10,1009,721,34,993,771,1764
Buckhead,Marietta,1382,283,33,574,1256,41,1956,1539,74,1698,1871,3569
Buckhead,Cumberland,7930,1295,151,7053,9487,132,14983,10782,283,9376,16672,26048
Buckhead,SCobb,2485,438,114,1124,2674,61,3609,3112,175,3037,3859,6896
Buckhead,Chamblee,11345,1825,1081,10774,18276,947,22119,20101,2028,14251,29997,44248
Buckhead,NWDeKalb,6101,885,290,6102,8205,292,12203,9090,582,7276,14599,21875
Buckhead,NEDeKalb,4027,713,385,1609,3099,207,5636,3812,592,5125,4915,10040
Buckhead,Atlanta-DeKalb,985,150,156,616,1064,81,1601,1214,237,1291,1761,3052
Buckhead,Decatur,886,134,172,408,641,71,1294,775,243,1192,1120,2312
Buckhead,SWDeKalb,1778,344,408,511,1368,160,2289,1712,568,2530,2039,4569
Buckhead,SEDeKalb,1678,316,270,270,863,72,1948,1179,342,2264,1205,3469
Buckhead,SDeKalb,1304,320,134,301,789,28,1605,1109,162,1758,1118,2876
Buckhead,WDouglas,481,68,30,96,255,3,577,323,33,579,354,933
Buckhead,EDouglas,807,103,67,195,447,10,1002,550,77,977,652,1629
Buckhead,WFayette,184,37,12,40,76,0,224,113,12,233,116,349
Buckhead,EFayette,288,63,19,50,131,2,338,194,21,370,183,553
Buckhead,NGwinnett,902,177,26,157,347,12,1059,524,38,1105,516,1621
Buckhead,CentGwinnett,1950,401,122,336,893,24,2286,1294,146,2473,1253,3726
Buckhead,EGwinnett,446,60,6,50,177,2,496,237,8,512,229,741
Buckhead,Norcross,3112,575,232,809,2024,117,3921,2599,349,3919,2950,6869
Buckhead,Lilburn,817,155,43,204,547,16,1021,702,59,1015,767,1782
Buckhead,Snellville,727,122,24,147,430,11,874,552,35,873,588,1461
Buckhead,NHenry,427,110,28,67,197,1,494,307,29,565,265,830
Buckhead,EHenry,156,46,9,33,95,0,189,141,9,211,128,339
Buckhead,SHenry,327,92,18,48,134,2,375,226,20,437,184,621
Buckhead,SRockdale,192,53,6,40,98,0,232,151,6,251,138,389
Buckhead,NRockdale,224,56,10,28,58,3,252,114,13,290,89,379
Buckhead,NBarrow,99,12,1,16,43,0,115,55,1,112,59,171
Buckhead,SBarrow,60,11,1,30,106,0,90,117,1,72,136,208
Buckhead,NWBartow,27,2,0,10,15,0,37,17,0,29,25,54
Buckhead,NEBartow,16,4,0,17,51,0,33,55,0,20,68,88
