STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
Doraville,RAIL,33.90298663,-84.28025261,EV,136,387
Five Points (Gold),RAIL,33.75386763,-84.39159681,EV,2998,3436
Five Points (Blue),RAIL,33.75387048,-84.3915608,EV,3638,1302
Hurt Park Stree,RAIL,33.75447459,-84.3852735,EV,3,0
Park Place Stre,RAIL,33.75506728,-84.38820241,EV,6,2
Dobbs Plaza Str,RAIL,33.75552012,-84.37887016,EV,0,0
King Historical,RAIL,33.75548968,-84.37435941,Airport,0,0
Edgewood/Hillia,RAIL,33.75438041,-84.37658011,Airport,0,0
Sandy Springs,RAIL,33.93218729,-84.35208977,Airport,119.69,222.65
North Springs,RAIL,33.94511896,-84.35726606,Airport,115.58,114.14
Georgia State,RAIL,33.75008031,-84.38582967,Airport,2.54,75.7
Inman Park/Reyn,RAIL,33.75769205,-84.35251524,Airport,15.3,12.52
Edgewood/Candle,RAIL,33.76193601,-84.33963921,Airport,12.86,7.08
East Lake,RAIL,33.76519723,-84.31276946,Airport,12.22,5.49
Decatur,RAIL,33.77468883,-84.29574279,Airport,15.53,26.06
Avondale,RAIL,33.77514262,-84.28227057,Airport,11.24,21.67
Kensington,RAIL,33.77265675,-84.25189439,Airport,25.3,15.59
Indian Creek,RAIL,33.76982934,-84.22965543,Airport,22.59,5.39
Dome/GWCC/Phili,RAIL,33.75610139,-84.39712121,Airport,0.12,59.12
Vine City,RAIL,33.75655043,-84.40401403,Airport,9.98,12.88
Ashby,RAIL,33.75644578,-84.41724351,Airport,12.98,13.74
West Lake,RAIL,33.75329302,-84.44534298,Airport,6.08,8.97
Hamilton E Holm,RAIL,33.75447364,-84.47012807,Airport,15.31,38.86
Bankhead,RAIL,33.77218678,-84.42893117,Airport,8.3,36.55
Peachtree Cente,RAIL,33.75967751,-84.38756755,Airport,14,409.4
Civic Center,RAIL,33.76648821,-84.38749686,Airport,92.36,171.72
Midtown,RAIL,33.78111994,-84.38633916,Airport,97.2,413.08
Arts Center,RAIL,33.78918261,-84.38732614,Airport,62.4,501.8
Lindbergh Cente,RAIL,33.8224931,-84.36959926,Airport,263.18,220.32
Lenox,RAIL,33.84538918,-84.35809298,Airport,52.96,355.6
Brookhaven/Ogle,RAIL,33.85995051,-84.33936845,Airport,44.59,25.74
Chamblee,RAIL,33.88746349,-84.30635678,Airport,18.2,28.59
Buckhead,RAIL,33.84806247,-84.36785871,Airport,29.15,475
Medical Center,RAIL,33.91076675,-84.35150425,Airport,20.79,470.95
Dunwoody,RAIL,33.92129246,-84.34435935,Airport,20.32,179.4
Garnett,RAIL,33.74883024,-84.39563408,Airport,16.46,52.52
West End,RAIL,33.73581105,-84.41366372,Airport,222.3,9.7
