FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
Airport,CentGwinnett,141,58,39,12,14,0,153,72,39,238,26,264
Airport,EGwinnett,46,7,1,5,11,0,51,18,1,54,16,70
Airport,Norcross,148,39,60,20,9,10,168,48,70,247,39,286
Airport,Lilburn,161,25,21,9,8,0,170,33,21,207,17,224
Airport,Snellville,187,19,17,13,13,1,200,32,18,223,27,250
Airport,NHenry,1117,167,45,236,428,1,1353,595,46,1329,665,1994
Airport,EHenry,529,75,14,40,57,0,569,132,14,618,97,715
Airport,SHenry,1106,191,10,84,237,0,1190,428,10,1307,321,1628
Airport,SRockdale,220,25,22,18,28,0,238,53,22,267,46,313
Airport,NRockdale,176,53,28,19,12,0,195,65,28,257,31,288
Airport,NBarrow,9,4,0,1,1,0,10,5,0,13,2,15
Airport,SBarrow,7,1,0,0,0,0,7,1,0,8,0,8
Airport,NWBartow,1,2,0,0,0,0,1,2,0,3,0,3
Airport,NEBartow,1,0,0,0,0,0,1,0,0,1,0,1
Airport,SWBartow,3,0,0,0,1,0,3,1,0,3,1,4
Airport,Cartersville,16,1,0,2,1,0,18,2,0,17,3,20
Airport,NECarroll,28,3,1,2,0,0,30,3,1,32,2,34
Airport,WCarroll,8,0,0,0,1,0,8,1,0,8,1,9
Airport,CentralCarroll,35,6,0,5,5,0,40,11,0,41,10,51
Airport,SECarroll,10,3,0,4,6,0,14,9,0,13,10,23
Airport,WCoweta,159,16,2,7,38,0,166,54,2,177,45,222
Airport,NCoweta,836,111,50,92,201,2,928,312,52,997,295,1292
Airport,SCoweta,62,7,0,6,17,0,68,24,0,69,23,92
Airport,SECoweta,114,11,0,17,20,0,131,31,0,125,37,162
Airport,NForsyth,3,2,0,3,3,0,6,5,0,5,6,11
Airport,Cumming,36,9,6,4,19,0,40,28,6,51,23,74
Airport,SForsyth,21,3,4,2,3,0,23,6,4,28,5,33
Airport,NHall,2,0,0,0,0,0,2,0,0,2,0,2
Airport,Gainesville,2,0,0,0,1,0,2,1,0,2,1,3
Airport,SHall,11,4,1,0,2,0,11,6,1,16,2,18
Airport,WNewton,237,41,19,18,40,0,255,81,19,297,58,355
Airport,ENewton,22,5,0,1,5,0,23,10,0,27,6,33
Airport,NPaulding,23,3,3,6,8,0,29,11,3,29,14,43
Airport,WPaulding,21,6,0,1,5,0,22,11,0,27,6,33
Airport,EPaulding,170,27,8,14,57,0,184,84,8,205,71,276
Airport,NSpalding,192,41,0,13,23,0,205,64,0,233,36,269
Airport,SSpalding,94,8,0,14,27,0,108,35,0,102,41,143
Airport,WWalton,45,7,0,6,17,0,51,24,0,52,23,75
Airport,EWalton,14,3,0,1,8,0,15,11,0,17,9,26
NEClayton,NFulton,143,49,5,38,61,3,181,110,8,197,102,299
NEClayton,Roswell,127,30,7,25,59,2,152,89,9,164,86,250
NEClayton,SandySprings,535,127,67,73,136,6,608,263,73,729,215,944
NEClayton,Buckhead,1066,307,119,196,600,20,1262,907,139,1492,816,2308
NEClayton,NWAtlanta,787,162,34,231,697,23,1018,859,57,983,951,1934
NEClayton,NEAtlanta,2230,499,212,838,2085,106,3068,2584,318,2941,3029,5970
NEClayton,SWAtlanta,1083,235,37,648,1330,35,1731,1565,72,1355,2013,3368
NEClayton,CBDAtlanta,2404,573,571,937,2767,315,3341,3340,886,3548,4019,7567
NEClayton,SEAtlanta,3092,739,60,4019,9593,165,7111,10332,225,3891,13777,17668
NEClayton,SFulton,734,149,6,244,442,2,978,591,8,889,688,1577
NEClayton,Tri-Cities,4264,965,102,3264,6256,131,7528,7221,233,5331,9651,14982
NEClayton,Shannon,1783,314,17,1134,2845,21,2917,3159,38,2114,4000,6114
NEClayton,WCherokee,7,2,0,2,0,0,9,2,0,9,2,11
NEClayton,NCherokee,4,0,0,0,2,0,4,2,0,4,2,6
NEClayton,ECentCherokee,36,11,0,8,9,0,44,20,0,47,17,64
NEClayton,Woodstock,72,18,1,14,74,0,86,92,1,91,88,179
NEClayton,Airport,3398,657,99,3033,4298,53,6431,4955,152,4154,7384,11538
NEClayton,NEClayton,27120,5488,348,53258,108741,958,80378,114229,1306,32956,162957,195913
NEClayton,Riverdale,5302,1019,62,7380,16536,214,12682,17555,276,6383,24130,30513
NEClayton,SClayton,8186,1633,113,10968,24172,302,19154,25805,415,9932,35442,45374
NEClayton,NWCobb,162,50,2,37,96,0,199,146,2,214,133,347
NEClayton,NECobb,192,63,5,54,79,0,246,142,5,260,133,393
